what,kind,bundleId,bundleVersion,description,time
opened,editor,com.google.gwt.eclipse.core,1.4.0.v201010280102,"com.google.gwt.eclipse.core.editors.cssResourceEditor",1292935240321
activated,editor,com.google.gwt.eclipse.core,1.4.0.v201010280102,"com.google.gwt.eclipse.core.editors.cssResourceEditor",1292935240551
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1292935241146
activated,editor,com.google.gwt.eclipse.core,1.4.0.v201010280102,"com.google.gwt.eclipse.core.editors.cssResourceEditor",1292935241308
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1292935241696
started,bundle,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.ui",1292935241976
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.302.v201009091745,"org.eclipse.wst.jsdt.web.ui",1292935242211
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.302.v201009091745,"org.eclipse.wst.jsdt.web.core",1292935242274
started,bundle,org.eclipse.jst.jsf.common,1.2.1.v20100827,"org.eclipse.jst.jsf.common",1292935242470
started,bundle,org.eclipse.jst.jsf.core,1.3.2.v20100906,"org.eclipse.jst.jsf.core",1292935242475
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.0.v20100602,"org.eclipse.jst.jsf.facelet.ui",1292935242482
started,bundle,org.eclipse.jst.jsf.ui,1.3.1.v20100906,"org.eclipse.jst.jsf.ui",1292935242557
opened,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1292935242701
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1292935242865
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1292935246676
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1292935248656
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292935252023
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292935276326
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1292935282558
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292935290773
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292935330713
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292935338821
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292935344441
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1292935344569
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292935345655
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292935370127
